epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6517,3.2428,5.46937,4.10525,0.00159,0.24707,0.00357,0.00118,2.97947,5.19022,4.07103,0.000133026,0.000133026,0.000133026
2,101.409,2.49606,4.55549,3.10191,0.40662,0.12934,0.08543,0.05169,2.03967,3.4916,2.54936,0.000261086,0.000261086,0.000261086
3,150.743,1.82339,3.45074,2.24961,0.28054,0.28152,0.19501,0.11302,1.66292,2.60411,2.15195,0.000383865,0.000383865,0.000383865
4,200.077,1.57049,2.78468,1.9375,0.35423,0.44644,0.30167,0.19177,1.43332,2.09491,1.82881,0.00037624,0.00037624,0.00037624
5,249.513,1.44328,2.38651,1.77543,0.37311,0.5013,0.35554,0.23351,1.34024,1.94523,1.70798,0.00036832,0.00036832,0.00036832
6,298.757,1.36578,2.13593,1.68232,0.37767,0.59583,0.43719,0.29004,1.28047,1.76415,1.63464,0.0003604,0.0003604,0.0003604
7,347.829,1.29453,1.9575,1.60128,0.45395,0.58452,0.466,0.31081,1.23927,1.6409,1.58061,0.00035248,0.00035248,0.00035248
8,396.825,1.25551,1.84116,1.55899,0.49119,0.61631,0.5481,0.37134,1.22231,1.50386,1.55716,0.00034456,0.00034456,0.00034456
9,445.8,1.22895,1.73936,1.52821,0.5578,0.63699,0.58663,0.40539,1.14351,1.40364,1.4648,0.00033664,0.00033664,0.00033664
10,494.62,1.20628,1.66154,1.49911,0.54683,0.68312,0.61502,0.42357,1.14117,1.36861,1.46306,0.00032872,0.00032872,0.00032872
11,542.339,1.18284,1.58094,1.47343,0.62492,0.6392,0.65308,0.46501,1.10117,1.33393,1.41239,0.0003208,0.0003208,0.0003208
12,589.896,1.16911,1.53092,1.45719,0.56998,0.73046,0.68448,0.48946,1.06357,1.23916,1.38431,0.00031288,0.00031288,0.00031288
13,637.38,1.15568,1.48569,1.44549,0.61189,0.71138,0.71654,0.50997,1.08816,1.16781,1.37962,0.00030496,0.00030496,0.00030496
14,684.878,1.1282,1.42657,1.41366,0.64805,0.73839,0.72338,0.52295,1.06261,1.15971,1.37644,0.00029704,0.00029704,0.00029704
15,732.421,1.11063,1.37671,1.39805,0.70551,0.7546,0.76503,0.5536,1.04892,1.11479,1.34944,0.00028912,0.00028912,0.00028912
16,780.074,1.09773,1.33361,1.38813,0.70805,0.74331,0.7813,0.56596,1.03603,1.05368,1.34268,0.0002812,0.0002812,0.0002812
17,827.575,1.09544,1.30509,1.37809,0.74606,0.73476,0.78486,0.57643,1.01004,1.01121,1.32053,0.00027328,0.00027328,0.00027328
18,875.079,1.07251,1.26411,1.35704,0.75468,0.70527,0.77712,0.56777,1.04306,1.01374,1.33682,0.00026536,0.00026536,0.00026536
